Number,Arrival time,X1,X2,X3,,,,,,Number,Arrival time,X1,X2,X3,,,,,
44,8:15,25,10,35,,,,,,40,8:15,9,16,25,,,,,
45,8:15,26,11,37,,,,,,41,8:15,6,14,20,,,,,
46,8:15,22,9,31,,,,,,42,8:15,7,16,23,,,,,
47,8:16,20,7,27,,,,,,43,8:16,6,14,21,,,,,
48,8:17,22,9,31,,,,,,44,8:17,7,14,21,,,,,
49,8:17,21,8,29,,,,,,45,8:17,8,17,25,,,,,
50,8:18,24,9,33,,,,,,46,8:18,8,17,25,,,,,
51,8:18,24,9,33,,,,,,47,8:18,7,12,20,,,,,
52,8:18,26,11,37,,,,,,48,8:18,10,18,28,,,,,
53,8:18,21,8,28,,,,,,49,8:18,6,17,23,,,,,
54,8:18,24,9,33,,,,,,50,8:18,7,14,21,,,,,
55,8:19,21,8,29,,,,,,51,8:19,6,18,24,,,,,
56,8:19,19,7,27,,,,,,52,8:19,10,17,27,,,,,
57,8:19,21,8,29,,,,,,53,8:19,6,16,22,,,,,
58,8:19,25,10,34,,,,,,54,8:19,7,12,19,,,,,
59,8:19,24,10,34,,,,,,55,8:19,9,15,24,,,,,
60,8:19,26,10,36,,,,,,56,8:19,9,17,25,,,,,
61,8:20,27,11,38,,,,,,57,8:20,9,14,24,,,,,
62,8:20,27,11,38,,,,,,58,8:20,9,16,25,,,,,
63,8:20,20,7,27,,,,,,59,8:20,6,13,19,,,,,
64,8:20,23,9,32,,,,,,60,8:20,7,12,19,,,,,
65,8:21,21,8,29,,,,,,61,8:21,9,15,24,,,,,
66,8:21,26,10,36,,,,,,62,8:21,9,18,26,,,,,
70,8:21,23,9,32,,,,,,63,8:21,7,17,23,,,,,
71,8:22,20,8,28,,,,,,64,8:22,8,12,20,,,,,
72,8:22,23,9,33,,,,,,65,8:22,8,13,21,,,,,
73,8:22,24,10,34,,,,,,66,8:22,9,16,25,,,,,
74,8:23,25,10,35,,,,,,67,8:23,8,15,23,,,,,
75,8:23,25,10,35,,,,,,68,8:23,7,16,23,,,,,
76,8:23,20,8,28,,,,,,69,8:23,10,17,27,,,,,
77,8:23,21,8,28,,,,,,70,8:23,9,12,21,,,,,
78,8:24,27,11,38,,,,,,71,8:24,8,14,22,,,,,
79,8:24,21,8,29,,,,,,72,8:24,9,14,23,,,,,
80,8:24,20,8,28,,,,,,73,8:24,9,16,25,,,,,
81,8:25,21,8,29,,,,,,74,8:25,7,14,21,,,,,
82,8:25,24,9,33,,,,,,75,8:25,7,14,20,,,,,
83,8:25,23,9,32,,,,,,76,8:25,9,12,22,,,,,
84,8:26,24,10,34,,,,,,77,8:26,6,15,21,,,,,
85,8:26,25,10,35,,,,,,78,8:26,6,17,23,,,,,
86,8:26,24,9,33,,,,,,79,8:26,9,13,22,,,,,
87,8:26,22,8,30,,,,,,80,8:26,9,14,23,,,,,
88,8:26,22,9,31,,,,,,81,8:26,10,17,27,,,,,
89,8:27,22,9,31,,,,,,82,8:27,10,15,24,,,,,
90,8:27,24,9,33,,,,,,83,8:27,10,12,22,,,,,
91,8:28,23,9,33,,,,,,84,8:28,8,16,24,,,,,
92,8:28,19,7,27,,,,,,85,8:28,8,13,21,,,,,
93,8:28,23,9,32,,,,,,86,8:28,9,16,25,,,,,
94,8:29,21,8,28,,,,,,87,8:29,8,15,23,,,,,
95,8:29,27,11,37,,,,,,88,8:29,7,17,24,,,,,
96,8:29,26,10,36,,,,,,89,8:29,6,14,20,,,,,
97,8:30,19,7,26,,,,,,90,8:30,9,13,22,,,,,
98,8:30,22,8,30,,,,,,91,8:30,9,15,24,,,,,
99,8:30,20,8,28,,,,,,92,8:30,9,15,24,,,,,
100,8:30,23,9,33,,,,,,93,8:30,8,13,22,,,,,
101,8:31,23,9,32,,,,,,94,8:31,7,17,24,,,,,
102,8:31,22,8,30,,,,,,95,8:31,10,17,26,,,,,
103,8:32,23,9,32,,,,,,96,8:32,8,14,22,,,,,
104,8:32,21,8,29,,,,,,97,8:32,7,15,22,,,,,
105,8:33,24,9,33,,,,,,98,8:33,7,14,20,,,,,
106,8:33,24,10,34,,,,,,99,8:33,7,16,24,,,,,
107,8:33,20,8,28,,,,,,100,8:33,7,18,25,,,,,
108,8:33,27,11,38,,,,,,101,8:33,7,12,20,,,,,
109,8:34,20,8,28,,,,,,102,8:34,9,13,22,,,,,
110,8:35,23,9,32,,,,,,103,8:35,9,17,25,,,,,
111,8:35,20,8,28,,,,,,104,8:35,7,14,21,,,,,
112,8:35,19,7,26,,,,,,105,8:35,10,13,23,,,,,
113,8:35,24,10,34,,,,,,106,8:35,6,17,23,,,,,
114,8:35,21,8,29,,,,,,107,8:35,9,12,21,,,,,
115,8:36,24,9,33,,,,,,108,8:36,8,13,21,,,,,
116,8:36,20,7,27,,,,,,109,8:36,8,14,22,,,,,
117,8:36,21,8,29,,,,,,110,8:36,7,15,22,,,,,
118,8:37,21,8,29,,,,,,111,8:37,7,17,24,,,,,
119,8:37,27,11,38,,,,,,112,8:37,9,13,22,,,,,
120,8:37,21,8,30,,,,,,113,8:37,9,15,24,,,,,
121,8:38,21,8,29,,,,,,114,8:38,9,15,24,,,,,
122,8:38,25,10,35,,,,,,115,8:38,9,14,23,,,,,
123,8:38,19,7,27,,,,,,116,8:38,10,16,26,,,,,
124,8:39,25,10,35,,,,,,117,8:39,8,13,21,,,,,
125,8:39,19,7,26,,,,,,118,8:39,9,14,23,,,,,
126,8:39,21,8,29,,,,,,119,8:39,10,17,27,,,,,
127,8:39,20,8,28,,,,,,120,8:39,7,15,22,,,,,
128,8:39,22,9,31,,,,,,121,8:39,9,17,26,,,,,
129,8:40,23,9,31,,,,,,122,8:40,8,13,21,,,,,
132,8:40,24,10,34,,,,,,123,8:40,9,18,27,,,,,
133,8:40,20,7,27,,,,,,124,8:40,8,17,25,,,,,
134,8:40,21,8,30,,,,,,125,8:40,7,12,19,,,,,
135,8:41,23,9,33,,,,,,126,8:41,9,15,25,,,,,
136,8:41,20,7,27,,,,,,127,8:41,7,14,21,,,,,
137,8:41,26,11,37,,,,,,128,8:41,9,16,24,,,,,
138,8:41,26,11,37,,,,,,129,8:41,9,18,27,,,,,
139,8:42,23,9,32,,,,,,130,8:42,8,15,23,,,,,
140,8:42,23,9,32,,,,,,131,8:42,7,14,22,,,,,
141,8:42,22,8,30,,,,,,132,8:42,6,16,22,,,,,
142,8:43,22,9,31,,,,,,133,8:43,10,12,22,,,,,
143,8:43,20,8,28,,,,,,134,8:43,7,14,21,,,,,
144,8:43,26,11,37,,,,,,135,8:43,8,15,23,,,,,
145,8:43,27,11,38,,,,,,136,8:43,8,18,25,,,,,
146,8:44,22,8,30,,,,,,137,8:44,10,13,23,,,,,
147,8:44,25,10,34,,,,,,138,8:44,10,15,25,,,,,
148,8:44,20,7,27,,,,,,139,8:44,9,15,24,,,,,
149,8:45,20,7,27,,,,,,140,8:45,10,14,23,,,,,
150,8:46,23,9,32,,,,,,141,8:46,8,15,23,,,,,
151,8:46,26,10,36,,,,,,142,8:46,9,13,22,,,,,
152,8:46,19,7,27,,,,,,143,8:46,8,14,22,,,,,
153,8:46,22,9,31,,,,,,144,8:46,6,15,22,,,,,
154,8:46,26,11,37,,,,,,145,8:46,10,14,23,,,,,
155,8:47,21,8,30,,,,,,146,8:47,8,15,22,,,,,
156,8:47,26,11,37,,,,,,147,8:47,6,13,19,,,,,
157,8:47,21,8,29,,,,,,148,8:47,9,14,23,,,,,
158,8:48,24,9,33,,,,,,149,8:48,9,16,25,,,,,
159,8:48,26,10,36,,,,,,150,8:48,9,17,25,,,,,
160,8:48,27,11,37,,,,,,151,8:48,9,18,26,,,,,
161,8:48,22,9,31,,,,,,152,8:48,7,13,20,,,,,
162,8:48,27,11,37,,,,,,153,8:48,9,17,26,,,,,
163,8:49,23,9,32,,,,,,154,8:49,9,17,26,,,,,
164,8:50,21,8,29,,,,,,155,8:50,9,12,22,,,,,
165,8:50,26,10,36,,,,,,156,8:50,6,17,23,,,,,
166,8:51,24,9,33,,,,,,157,8:51,9,18,26,,,,,
167,8:51,20,8,28,,,,,,158,8:51,10,13,23,,,,,
168,8:51,26,11,37,,,,,,159,8:51,6,12,18,,,,,
169,8:52,19,7,26,,,,,,160,8:52,8,16,24,,,,,
170,8:52,26,10,36,,,,,,161,8:52,10,12,22,,,,,
171,8:52,22,8,30,,,,,,162,8:52,10,15,25,,,,,
172,8:53,21,8,29,,,,,,163,8:53,8,17,26,,,,,
173,8:54,23,9,32,,,,,,164,8:54,8,14,22,,,,,
174,8:54,27,11,38,,,,,,165,8:54,10,13,23,,,,,
175,8:54,20,8,28,,,,,,166,8:54,8,17,25,,,,,
176,8:55,23,9,32,,,,,,167,8:55,7,15,22,,,,,
177,8:55,22,8,30,,,,,,168,8:55,9,16,25,,,,,
178,8:55,25,10,35,,,,,,169,8:55,8,15,23,,,,,
179,8:55,23,9,32,,,,,,170,8:55,9,15,24,,,,,
180,8:55,26,10,36,,,,,,171,8:55,9,13,22,,,,,
181,8:56,27,11,37,,,,,,172,8:56,10,18,27,,,,,
182,8:56,24,10,34,,,,,,173,8:56,8,17,25,,,,,
183,8:57,26,11,37,,,,,,174,8:57,7,13,19,,,,,
184,8:57,24,10,34,,,,,,175,8:57,6,15,21,,,,,
185,8:57,26,11,37,,,,,,176,8:57,6,18,24,,,,,
186,8:58,25,10,36,,,,,,177,8:58,8,13,22,,,,,
187,8:58,22,8,30,,,,,,178,8:58,8,13,22,,,,,
188,8:58,24,9,33,,,,,,179,8:58,8,13,21,,,,,
189,8:59,26,11,37,,,,,,180,8:59,8,15,23,,,,,
190,8:59,19,7,26,,,,,,181,8:59,8,15,23,,,,,
191,9:00,24,9,33,,,,,,182,9:00,10,15,25,,,,,
192,9:00,20,8,28,,,,,,183,9:00,8,14,22,,,,,
193,9:01,21,8,30,,,,,,184,9:01,7,14,20,,,,,
194,9:01,25,10,36,,,,,,185,9:01,6,18,24,,,,,
195,9:01,26,11,37,,,,,,186,9:01,8,16,25,,,,,
196,9:02,25,10,35,,,,,,187,9:02,9,14,23,,,,,
197,9:02,27,11,37,,,,,,188,9:02,6,15,22,,,,,
198,9:02,26,10,36,,,,,,189,9:02,7,18,25,,,,,
199,9:02,24,9,33,,,,,,190,9:02,9,12,21,,,,,
200,9:03,27,11,38,,,,,,191,9:03,8,15,23,,,,,
201,9:03,26,11,37,,,,,,192,9:03,7,15,22,,,,,
202,9:03,24,9,33,,,,,,193,9:03,8,13,21,,,,,
203,9:03,21,8,29,,,,,,194,9:03,7,14,22,,,,,
204,9:04,26,11,37,,,,,,195,9:04,7,15,22,,,,,
205,9:04,22,9,31,,,,,,196,9:04,9,13,22,,,,,
206,9:05,26,10,36,,,,,,197,9:05,8,17,25,,,,,
207,9:05,21,8,30,,,,,,198,9:05,10,16,25,,,,,
208,9:06,22,8,30,,,,,,199,9:06,8,12,20,,,,,
209,9:07,23,9,32,,,,,,200,9:07,8,13,21,,,,,
212,9:07,26,11,37,,,,,,201,9:07,8,15,23,,,,,
213,9:07,24,9,33,,,,,,202,9:07,8,17,25,,,,,
214,9:08,25,10,35,,,,,,203,9:08,8,16,24,,,,,
215,9:09,25,10,35,,,,,,204,9:09,6,13,19,,,,,
216,9:09,26,11,37,,,,,,205,9:09,8,15,24,,,,,
217,9:09,25,10,34,,,,,,206,9:09,8,14,22,,,,,
218,9:09,21,8,29,,,,,,207,9:09,9,12,21,,,,,
219,9:10,20,8,28,,,,,,208,9:10,7,17,24,,,,,
220,9:10,21,8,30,,,,,,209,9:10,9,17,26,,,,,
221,9:10,19,7,26,,,,,,210,9:10,8,14,23,,,,,
222,9:11,19,7,26,,,,,,211,9:11,8,13,22,,,,,
223,9:11,21,8,29,,,,,,212,9:11,9,18,27,,,,,
224,9:11,22,8,30,,,,,,213,9:11,10,15,25,,,,,
225,9:12,21,8,30,,,,,,214,9:12,6,13,19,,,,,
226,9:12,21,8,28,,,,,,215,9:12,6,17,24,,,,,
227,9:13,21,8,29,,,,,,216,9:13,9,16,25,,,,,
228,9:13,25,10,35,,,,,,217,9:13,10,14,24,,,,,
229,9:13,25,10,36,,,,,,218,9:13,7,18,24,,,,,
230,9:14,21,8,29,,,,,,219,9:14,6,18,24,,,,,
231,9:15,23,9,32,,,,,,220,9:15,7,13,19,,,,,
232,9:16,23,9,33,,,,,,221,9:16,8,13,22,,,,,
233,9:18,20,8,28,,,,,,222,9:18,9,12,21,,,,,
234,9:18,23,9,33,,,,,,223,9:18,7,17,23,,,,,
235,9:18,24,9,33,,,,,,224,9:18,7,13,20,,,,,
236,9:18,25,10,35,,,,,,225,9:18,9,13,21,,,,,
237,9:19,20,8,28,,,,,,226,9:19,8,18,26,,,,,
238,9:19,20,8,28,,,,,,227,9:19,7,15,22,,,,,
239,9:20,22,8,30,,,,,,228,9:20,8,14,22,,,,,
240,9:20,24,10,34,,,,,,229,9:20,7,15,22,,,,,
241,9:22,27,11,38,,,,,,230,9:22,7,16,23,,,,,
242,9:22,21,8,29,,,,,,231,9:22,9,14,24,,,,,
243,9:23,23,9,32,,,,,,232,9:23,10,13,23,,,,,
244,9:26,27,11,38,,,,,,233,9:26,7,18,25,,,,,
245,9:26,27,11,37,,,,,,234,9:26,8,14,22,,,,,
246,9:26,20,8,28,,,,,,235,9:26,8,13,21,,,,,
247,9:26,21,8,29,,,,,,236,9:26,10,15,25,,,,,
248,9:26,23,9,32,,,,,,237,9:26,9,16,24,,,,,
249,9:27,21,8,28,,,,,,238,9:27,10,17,27,,,,,
250,9:27,27,11,38,,,,,,239,9:27,8,13,21,,,,,
251,9:29,23,9,32,,,,,,240,9:29,10,13,23,,,,,
252,9:30,25,10,35,,,,,,241,9:30,7,15,22,,,,,
253,9:30,24,9,33,,,,,,242,9:30,7,17,23,,,,,
254,9:31,23,9,32,,,,,,243,9:31,10,17,26,,,,,
255,9:33,22,8,30,,,,,,244,9:33,9,16,25,,,,,
256,9:33,24,10,34,,,,,,245,9:33,6,17,23,,,,,
257,9:33,20,8,28,,,,,,246,9:33,10,17,26,,,,,
258,9:34,20,7,27,,,,,,247,9:34,8,16,24,,,,,
259,9:35,27,11,38,,,,,,248,9:35,7,14,20,,,,,
260,9:36,20,8,28,,,,,,249,9:36,6,16,22,,,,,
261,9:37,26,10,36,,,,,,250,9:37,7,17,24,,,,,
262,9:39,23,9,33,,,,,,251,9:39,9,13,22,,,,,
263,9:39,20,7,27,,,,,,252,9:39,9,16,26,,,,,
264,9:39,24,9,33,,,,,,253,9:39,8,17,24,,,,,
265,9:40,20,7,27,,,,,,254,9:40,8,14,22,,,,,
266,9:40,27,11,38,,,,,,255,9:40,8,14,22,,,,,
267,9:41,24,9,33,,,,,,256,9:41,7,13,21,,,,,
268,9:41,27,11,37,,,,,,257,9:41,9,14,23,,,,,
269,9:42,26,10,36,,,,,,258,9:42,7,14,21,,,,,
270,9:42,24,10,34,,,,,,259,9:42,10,16,26,,,,,
271,9:43,22,8,30,,,,,,260,9:43,9,14,23,,,,,
272,9:43,23,9,31,,,,,,261,9:43,9,15,24,,,,,
273,9:43,25,10,35,,,,,,262,9:43,7,16,23,,,,,
274,9:45,20,8,28,,,,,,263,9:45,9,14,23,,,,,
275,9:45,24,9,33,,,,,,264,9:45,10,17,26,,,,,
276,9:46,20,8,28,,,,,,265,9:46,7,13,20,,,,,
277,9:47,20,7,27,,,,,,266,9:47,8,13,21,,,,,
278,9:47,26,10,36,,,,,,267,9:47,6,14,20,,,,,
279,9:47,25,10,34,,,,,,268,9:47,10,16,25,,,,,
280,9:47,24,10,34,,,,,,269,9:47,9,13,22,,,,,
281,9:48,24,9,33,,,,,,270,9:48,8,16,24,,,,,
282,9:48,26,10,36,,,,,,271,9:48,6,14,20,,,,,
283,9:48,21,8,29,,,,,,272,9:48,9,16,24,,,,,
284,9:49,26,10,36,,,,,,273,9:49,9,15,24,,,,,
285,9:49,27,11,38,,,,,,274,9:49,10,17,27,,,,,
286,9:49,19,7,27,,,,,,275,9:49,7,13,20,,,,,
287,9:50,24,9,33,,,,,,276,9:50,10,17,27,,,,,
288,9:50,20,7,27,,,,,,277,9:50,7,13,20,,,,,
289,9:50,21,8,30,,,,,,278,9:50,7,17,24,,,,,
290,9:51,22,9,31,,,,,,279,9:51,6,13,19,,,,,
291,9:51,22,9,31,,,,,,280,9:51,10,12,22,,,,,
292,9:51,20,8,28,,,,,,281,9:51,7,17,24,,,,,
293,9:52,26,10,36,,,,,,282,9:52,10,13,22,,,,,
294,9:53,27,11,38,,,,,,283,9:53,6,17,23,,,,,
295,9:53,25,10,35,,,,,,284,9:53,7,12,19,,,,,
296,9:55,26,10,36,,,,,,285,9:55,6,16,23,,,,,
299,9:55,24,9,33,,,,,,286,9:55,10,15,25,,,,,
300,9:55,21,8,29,,,,,,287,9:55,8,15,23,,,,,
301,9:56,26,11,37,,,,,,288,9:56,9,17,25,,,,,
302,9:56,24,10,34,,,,,,289,9:56,9,16,25,,,,,
303,9:57,25,10,35,,,,,,290,9:57,10,18,28,,,,,
304,9:57,24,9,33,,,,,,291,9:57,8,17,25,,,,,
305,9:59,25,10,35,,,,,,292,9:59,7,14,21,,,,,
306,9:59,20,8,28,,,,,,293,9:59,7,16,23,,,,,
307,10:00,20,8,28,,,,,,294,10:00,9,16,25,,,,,
308,10:00,25,10,35,,,,,,295,10:00,9,13,22,,,,,
309,10:01,21,8,30,,,,,,296,10:01,9,18,26,,,,,
310,10:01,22,8,30,,,,,,297,10:01,6,13,20,,,,,
311,10:01,25,10,35,,,,,,298,10:01,6,17,23,,,,,
312,10:02,24,9,33,,,,,,299,10:02,8,13,21,,,,,
313,10:02,24,9,33,,,,,,300,10:02,7,14,22,,,,,
314,10:02,25,10,35,,,,,,301,10:02,7,13,20,,,,,
315,10:03,26,11,37,,,,,,302,10:03,9,15,25,,,,,
316,10:03,27,11,38,,,,,,303,10:03,7,14,21,,,,,
317,10:04,23,9,32,,,,,,304,10:04,8,13,21,,,,,
318,10:05,24,9,33,,,,,,305,10:05,8,13,21,,,,,
319,10:05,20,7,27,,,,,,306,10:05,10,14,23,,,,,
320,10:05,22,8,30,,,,,,307,10:05,6,15,21,,,,,
321,10:05,25,10,36,,,,,,308,10:05,7,17,24,,,,,
322,10:06,21,8,29,,,,,,309,10:06,8,17,25,,,,,
323,10:06,26,10,36,,,,,,310,10:06,7,16,22,,,,,
324,10:06,21,8,29,,,,,,311,10:06,6,17,24,,,,,
325,10:07,24,9,33,,,,,,312,10:07,6,13,19,,,,,
326,10:07,21,8,30,,,,,,313,10:07,9,16,25,,,,,
327,10:07,22,9,31,,,,,,314,10:07,7,13,20,,,,,
328,10:07,26,11,37,,,,,,315,10:07,9,14,23,,,,,
329,10:09,25,10,35,,,,,,316,10:09,6,14,20,,,,,
330,10:10,24,10,34,,,,,,317,10:10,10,14,23,,,,,
331,10:10,23,9,33,,,,,,318,10:10,6,16,23,,,,,
332,10:10,23,9,33,,,,,,319,10:10,7,15,22,,,,,
333,10:11,25,10,35,,,,,,320,10:11,7,16,22,,,,,
334,10:11,26,11,37,,,,,,321,10:11,8,15,23,,,,,
335,10:11,23,9,32,,,,,,322,10:11,8,17,25,,,,,
336,10:11,25,10,35,,,,,,323,10:11,10,13,23,,,,,
337,10:13,20,8,28,,,,,,324,10:13,7,14,21,,,,,
338,10:15,21,8,28,,,,,,325,10:15,7,13,20,,,,,
339,10:15,22,8,30,,,,,,326,10:15,7,17,24,,,,,
340,10:16,23,9,32,,,,,,327,10:16,9,17,26,,,,,
341,10:17,27,11,37,,,,,,328,10:17,10,12,22,,,,,
345,10:17,25,10,35,,,,,,329,10:17,6,15,21,,,,,
346,10:18,23,9,32,,,,,,330,10:18,9,18,27,,,,,
347,10:18,20,7,27,,,,,,331,10:18,10,12,22,,,,,
348,10:18,24,10,34,,,,,,332,10:18,7,15,23,,,,,
349,10:18,25,10,35,,,,,,333,10:18,8,13,21,,,,,
350,10:19,25,10,35,,,,,,334,10:19,7,14,21,,,,,
351,10:19,23,9,32,,,,,,335,10:19,9,13,22,,,,,
352,10:19,26,11,37,,,,,,336,10:19,8,13,21,,,,,
353,10:20,22,9,31,,,,,,337,10:20,8,13,21,,,,,
354,10:20,23,9,32,,,,,,338,10:20,7,13,20,,,,,
355,10:20,22,9,31,,,,,,339,10:20,8,14,22,,,,,
356,10:21,20,8,28,,,,,,340,10:21,9,13,22,,,,,
357,10:21,27,11,38,,,,,,341,10:21,8,17,25,,,,,
358,10:23,26,10,36,,,,,,342,10:23,9,12,22,,,,,
359,10:23,22,8,30,,,,,,343,10:23,7,12,19,,,,,
360,10:24,19,7,27,,,,,,344,10:24,9,12,21,,,,,
361,10:25,21,8,29,,,,,,345,10:25,10,15,24,,,,,
362,10:26,25,10,35,,,,,,346,10:26,6,14,20,,,,,
363,10:26,24,9,33,,,,,,347,10:26,9,14,23,,,,,
364,10:27,19,7,26,,,,,,348,10:27,6,17,23,,,,,
365,10:29,27,11,38,,,,,,349,10:29,8,15,23,,,,,
366,10:30,24,10,34,,,,,,350,10:30,9,15,24,,,,,
367,10:30,25,10,35,,,,,,351,10:30,9,13,23,,,,,
368,10:30,21,8,29,,,,,,352,10:30,8,15,23,,,,,
369,10:31,21,8,29,,,,,,353,10:31,7,12,19,,,,,
370,10:31,22,9,31,,,,,,354,10:31,9,14,23,,,,,
371,10:32,22,9,31,,,,,,355,10:32,9,12,21,,,,,
372,10:32,20,7,27,,,,,,356,10:32,9,17,26,,,,,
373,10:33,24,9,33,,,,,,357,10:33,7,16,23,,,,,
374,10:33,24,9,33,,,,,,358,10:33,9,13,22,,,,,
375,10:33,23,9,33,,,,,,359,10:33,10,14,24,,,,,
376,10:34,22,8,30,,,,,,360,10:34,8,15,23,,,,,
377,10:34,20,7,27,,,,,,361,10:34,7,17,25,,,,,
378,10:35,20,8,28,,,,,,362,10:35,8,13,22,,,,,
379,10:35,22,8,30,,,,,,363,10:35,10,14,24,,,,,
380,10:35,25,10,35,,,,,,364,10:35,6,15,21,,,,,
381,10:35,22,9,31,,,,,,365,10:35,8,12,20,,,,,
382,10:35,24,9,33,,,,,,366,10:35,8,16,23,,,,,
383,10:36,25,10,35,,,,,,367,10:36,9,13,22,,,,,
384,10:36,20,7,27,,,,,,368,10:36,10,17,27,,,,,
385,10:36,23,9,33,,,,,,369,10:36,10,17,27,,,,,
386,10:36,22,8,30,,,,,,370,10:36,6,13,19,,,,,
387,10:38,20,8,28,,,,,,371,10:38,9,16,25,,,,,
388,10:38,27,11,37,,,,,,372,10:38,9,14,23,,,,,
389,10:39,21,8,29,,,,,,373,10:39,9,13,22,,,,,
390,10:39,23,9,32,,,,,,374,10:39,9,13,22,,,,,
391,10:39,22,8,30,,,,,,375,10:39,8,16,24,,,,,
392,10:40,22,9,31,,,,,,376,10:40,10,13,23,,,,,
393,10:41,22,8,30,,,,,,377,10:41,9,17,26,,,,,
394,10:41,26,10,36,,,,,,378,10:41,8,17,25,,,,,
395,10:41,23,9,33,,,,,,379,10:41,8,18,26,,,,,
396,10:41,21,8,29,,,,,,380,10:41,8,13,21,,,,,
397,10:42,23,9,32,,,,,,381,10:42,6,17,23,,,,,
398,10:43,26,11,37,,,,,,382,10:43,9,14,23,,,,,
399,10:43,21,8,30,,,,,,383,10:43,8,13,22,,,,,
400,10:45,21,8,30,,,,,,384,10:45,9,14,23,,,,,
401,10:45,24,10,34,,,,,,385,10:45,8,15,23,,,,,
402,10:46,25,10,35,,,,,,386,10:46,9,13,22,,,,,
403,10:47,22,8,30,,,,,,387,10:47,10,15,24,,,,,
404,10:47,26,10,36,,,,,,388,10:47,10,13,23,,,,,
405,10:48,27,11,38,,,,,,389,10:48,6,18,24,,,,,
406,10:48,19,7,26,,,,,,390,10:48,9,17,26,,,,,
407,10:49,25,10,35,,,,,,391,10:49,8,14,21,,,,,
408,10:49,22,8,30,,,,,,392,10:49,7,17,24,,,,,
409,10:50,22,9,31,,,,,,393,10:50,9,12,21,,,,,
410,10:51,24,9,33,,,,,,394,10:51,10,13,23,,,,,
411,10:52,27,11,38,,,,,,395,10:52,10,13,22,,,,,
412,10:52,22,9,31,,,,,,396,10:52,8,13,21,,,,,
413,10:53,22,9,31,,,,,,397,10:53,7,13,20,,,,,
414,10:54,25,10,35,,,,,,398,10:54,8,18,25,,,,,
415,10:54,22,8,30,,,,,,399,10:54,7,17,23,,,,,
416,10:55,26,11,37,,,,,,400,10:55,8,16,24,,,,,
417,10:56,21,8,29,,,,,,401,10:56,8,18,25,,,,,
418,10:57,25,10,35,,,,,,402,10:57,9,12,21,,,,,
419,10:57,20,7,27,,,,,,403,10:57,6,16,22,,,,,
420,10:58,26,11,37,,,,,,404,10:58,9,14,23,,,,,
421,10:58,24,9,33,,,,,,405,10:58,9,17,27,,,,,
422,10:58,23,9,33,,,,,,406,10:58,7,18,24,,,,,
423,10:58,23,9,32,,,,,,407,10:58,9,15,23,,,,,
424,10:59,26,10,36,,,,,,408,10:59,9,12,21,,,,,
